iter	locus	tip0	tip1	tip2	tip3
48	8	4	3	1	2
48	9	1	2	3	4
49	0	3	4	1	2
49	1	2	1	3	4
49	2	1	2	3	4
49	3	1	2	3	4
49	4	2	3	1	4
49	5	2	1	3	4
49	6	1	2	3	4
49	7	1	2	3	4
49	8	3	4	1	2
49	9	1	2	3	4
50	0	3	4	1	2
50	1	2	3	1	4
50	2	1	2	3	4
50	3	1	2	3	4
50	4	2	3	1	4
50	5	3	4	1	2
50	6	3	4	1	2
50	7	3	4	1	2
50	8	3	4	1	2
50	9	1	2	3	4
51	0	3	4	1	2
51	1	2	4	1	3
51	2	1	2	3	4
51	3	3	4	1	2
51	4	2	3	1	4
51	5	3	4	1	2
51	6	3	4	1	2
51	7	1	2	3	4
51	8	3	4	1	2
51	9	1	2	3	4
52	0	3	4	1	2
52	1	2	4	1	3
52	2	3	4	1	2
52	3	3	4	1	2
52	4	2	4	1	3
52	5	3	4	1	2
52	6	3	4	1	2
52	7	1	2	3	4
52	8	3	4	1	2
52	9	3	4	1	2
53	0	3	4	1	2
53	1	2	4	1	3
53	2	3	4	1	2
53	3	3	4	1	2
53	4	3	2	1	4
53	5	1	2	3	4
53	6	3	4	1	2
53	7	1	2	3	4
53	8	3	4	1	2
53	9	1	2	3	4
54	0	3	4	1	2
54	1	2	1	3	4
54	2	1	2	3	4
54	3	1	2	3	4
54	4	3	2	1	4
54	5	1	2	3	4
54	6	3	4	1	2
54	7	1	2	3	4
54	8	4	3	1	2
54	9	1	2	3	4
55	0	3	4	1	2
55	1	2	4	1	3
55	2	1	2	3	4
55	3	1	2	3	4
55	4	3	2	1	4
55	5	3	4	1	2
55	6	3	4	1	2
55	7	3	4	1	2
55	8	3	4	1	2
55	9	1	2	3	4
56	0	3	4	1	2
56	1	2	1	3	4
56	2	3	4	1	2
56	3	1	2	3	4
56	4	1	3	2	4
56	5	3	4	1	2
56	6	3	4	1	2
56	7	3	4	1	2
56	8	3	4	1	2
56	9	3	4	1	2
57	0	3	4	1	2
57	1	2	3	1	4
57	2	1	2	3	4
57	3	1	2	3	4
57	4	3	1	2	4
57	5	1	2	3	4
57	6	3	4	1	2
57	7	3	4	1	2
57	8	3	4	1	2
57	9	3	4	1	2
58	0	3	4	1	2
58	1	2	1	3	4
58	2	1	2	3	4
58	3	3	4	1	2
58	4	1	2	3	4
58	5	1	2	3	4
58	6	3	4	1	2
58	7	3	4	1	2
58	8	3	4	1	2
58	9	1	2	3	4
59	0	3	4	1	2
59	1	2	3	1	4
59	2	1	2	3	4
59	3	1	2	3	4
59	4	3	2	1	4
59	5	3	4	1	2
59	6	1	2	3	4
59	7	1	2	3	4
59	8	3	4	1	2
59	9	3	4	1	2
60	0	3	4	1	2
60	1	2	1	3	4
60	2	1	2	3	4
60	3	1	2	3	4
60	4	2	3	1	4
60	5	3	4	1	2
60	6	1	2	3	4
60	7	1	2	3	4
60	8	4	3	1	2
60	9	1	2	3	4
61	0	3	4	1	2
61	1	2	1	3	4
61	2	1	2	3	4
61	3	1	2	3	4
61	4	2	1	3	4
61	5	3	4	1	2
61	6	1	2	3	4
61	7	3	4	1	2
61	8	1	2	3	4
61	9	1	2	3	4
62	0	3	4	1	2
62	1	2	3	1	4
62	2	1	2	3	4
62	3	1	2	3	4
62	4	1	2	3	4
62	5	1	2	3	4
62	6	1	2	3	4
62	7	1	2	3	4
62	8	1	2	3	4
62	9	1	2	3	4
63	0	3	4	1	2
63	1	2	4	1	3
63	2	1	2	3	4
63	3	1	2	3	4
63	4	2	1	3	4
63	5	3	4	1	2
63	6	1	2	3	4
63	7	3	4	1	2
63	8	1	2	3	4
63	9	3	4	1	2
64	0	3	4	1	2
64	1	2	4	1	3
64	2	1	2	3	4
64	3	1	2	3	4
64	4	2	4	1	3
64	5	3	4	1	2
64	6	1	2	3	4
64	7	1	2	3	4
64	8	1	2	3	4
64	9	3	4	1	2
65	0	3	4	1	2
65	1	2	4	1	3
65	2	1	2	3	4
65	3	3	4	1	2
65	4	1	3	2	4
65	5	3	4	1	2
65	6	1	2	3	4
65	7	1	2	3	4
65	8	3	4	1	2
65	9	3	4	1	2
66	0	3	4	1	2
66	1	2	4	1	3
66	2	1	2	3	4
66	3	3	4	1	2
66	4	2	3	1	4
66	5	2	1	3	4
66	6	3	4	1	2
66	7	1	2	3	4
66	8	1	2	3	4
66	9	1	2	3	4
67	0	3	4	1	2
67	1	2	3	1	4
67	2	1	2	3	4
67	3	1	2	3	4
67	4	1	4	2	3
67	5	2	1	3	4
67	6	3	4	1	2
67	7	1	2	3	4
67	8	3	4	1	2
67	9	1	2	3	4
68	0	3	4	1	2
68	1	2	4	1	3
68	2	1	2	3	4
68	3	1	2	3	4
68	4	1	2	3	4
68	5	3	4	1	2
68	6	1	2	3	4
68	7	3	4	1	2
68	8	3	4	1	2
68	9	1	2	3	4
69	0	3	4	1	2
69	1	2	1	3	4
69	2	1	2	3	4
69	3	1	2	3	4
69	4	4	2	1	3
69	5	3	4	1	2
69	6	1	2	3	4
69	7	3	4	1	2
69	8	1	2	3	4
69	9	3	4	1	2
70	0	3	4	1	2
70	1	2	4	1	3
70	2	1	2	3	4
70	3	1	2	3	4
70	4	4	2	1	3
70	5	3	4	1	2
70	6	1	2	3	4
70	7	3	4	1	2
70	8	1	2	3	4
70	9	3	4	1	2
71	0	3	4	1	2
71	1	2	4	1	3
71	2	1	2	3	4
71	3	1	2	3	4
71	4	2	4	1	3
71	5	1	2	3	4
71	6	4	3	1	2
71	7	3	4	1	2
71	8	3	4	1	2
71	9	1	2	3	4
72	0	3	4	1	2
72	1	2	4	1	3
72	2	1	2	3	4
72	3	1	2	3	4
72	4	2	4	1	3
72	5	3	4	1	2
72	6	1	2	3	4
72	7	3	4	1	2
72	8	2	1	3	4
72	9	1	2	3	4
73	0	3	4	1	2
73	1	2	4	1	3
73	2	1	2	3	4
73	3	3	4	1	2
73	4	1	3	2	4
73	5	3	4	1	2
73	6	1	2	3	4
73	7	1	2	3	4
73	8	1	2	3	4
73	9	1	2	3	4
74	0	3	4	1	2
74	1	2	4	1	3
74	2	1	2	3	4
74	3	1	2	3	4
74	4	3	1	2	4
74	5	1	2	3	4
74	6	3	4	1	2
74	7	1	2	3	4
74	8	1	2	3	4
74	9	1	2	3	4
75	0	1	2	3	4
75	1	2	4	1	3
75	2	1	2	3	4
75	3	3	4	1	2
75	4	3	2	1	4
75	5	3	4	1	2
75	6	3	4	1	2
75	7	1	2	3	4
75	8	2	1	3	4
75	9	3	4	1	2
76	0	2	1	3	4
76	1	2	4	1	3
76	2	4	3	1	2
76	3	3	4	1	2
76	4	3	2	1	4
76	5	3	4	1	2
76	6	3	4	1	2
76	7	1	2	3	4
76	8	1	2	3	4
76	9	1	2	3	4
77	0	3	4	1	2
77	1	2	4	1	3
77	2	3	4	1	2
77	3	3	4	1	2
77	4	2	4	1	3
77	5	3	4	1	2
77	6	3	4	1	2
77	7	1	2	3	4
77	8	4	3	1	2
77	9	1	2	3	4
78	0	2	1	3	4
78	1	2	4	1	3
78	2	1	2	3	4
78	3	3	4	1	2
78	4	2	1	3	4
78	5	3	4	1	2
78	6	2	1	3	4
78	7	1	2	3	4
78	8	3	4	1	2
78	9	3	4	1	2
79	0	2	1	3	4
79	1	2	4	1	3
79	2	1	2	3	4
79	3	3	4	1	2
79	4	2	4	1	3
79	5	3	4	1	2
79	6	1	2	3	4
79	7	1	2	3	4
79	8	3	4	1	2
79	9	3	4	1	2
80	0	3	4	1	2
80	1	2	4	1	3
80	2	1	2	3	4
80	3	3	4	1	2
80	4	2	4	1	3
80	5	1	2	3	4
80	6	1	2	3	4
80	7	1	2	3	4
80	8	1	2	3	4
80	9	3	4	1	2
81	0	3	4	1	2
81	1	2	4	1	3
81	2	1	2	3	4
81	3	1	2	3	4
81	4	2	3	1	4
81	5	2	1	3	4
81	6	1	2	3	4
81	7	1	2	3	4
81	8	1	2	3	4
81	9	3	4	1	2
82	0	3	4	1	2
82	1	2	4	1	3
82	2	1	2	3	4
82	3	1	2	3	4
82	4	2	3	1	4
82	5	2	1	3	4
82	6	3	4	1	2
82	7	1	2	3	4
82	8	3	4	1	2
82	9	3	4	1	2
83	0	3	4	1	2
83	1	2	4	1	3
83	2	1	2	3	4
83	3	1	2	3	4
83	4	4	2	1	3
83	5	2	1	3	4
83	6	3	4	1	2
83	7	1	2	3	4
83	8	3	4	1	2
83	9	3	4	1	2
84	0	3	4	1	2
84	1	2	4	1	3
84	2	3	4	1	2
84	3	1	2	3	4
84	4	1	2	3	4
84	5	3	4	1	2
84	6	2	1	3	4
84	7	1	2	3	4
84	8	4	3	1	2
84	9	3	4	1	2
85	0	2	1	3	4
85	1	2	1	3	4
85	2	1	2	3	4
85	3	3	4	1	2
85	4	3	2	1	4
85	5	3	4	1	2
85	6	1	2	3	4
85	7	1	2	3	4
85	8	1	2	3	4
85	9	3	4	1	2
86	0	3	4	1	2
86	1	2	3	1	4
86	2	1	2	3	4
86	3	1	2	3	4
86	4	2	3	1	4
86	5	3	4	1	2
86	6	1	2	3	4
86	7	1	2	3	4
86	8	1	2	3	4
86	9	3	4	1	2
87	0	3	4	1	2
87	1	2	4	1	3
87	2	1	2	3	4
87	3	1	2	3	4
87	4	3	2	1	4
87	5	1	2	3	4
87	6	1	2	3	4
87	7	1	2	3	4
87	8	3	4	1	2
87	9	2	1	3	4
88	0	3	4	1	2
88	1	2	4	1	3
88	2	3	4	1	2
88	3	1	2	3	4
88	4	2	3	1	4
88	5	2	1	3	4
88	6	3	4	1	2
88	7	3	4	1	2
88	8	3	4	1	2
88	9	1	2	3	4
89	0	3	4	1	2
89	1	2	4	1	3
89	2	3	4	1	2
89	3	1	2	3	4
89	4	2	4	1	3
89	5	1	2	3	4
89	6	3	4	1	2
89	7	3	4	1	2
89	8	3	4	1	2
89	9	1	2	3	4
90	0	3	4	1	2
90	1	2	4	1	3
90	2	1	2	3	4
90	3	1	2	3	4
90	4	2	1	3	4
90	5	3	4	1	2
90	6	1	2	3	4
90	7	3	4	1	2
90	8	3	4	1	2
90	9	3	4	1	2
91	0	3	4	1	2
91	1	2	4	1	3
91	2	1	2	3	4
91	3	3	4	1	2
91	4	2	1	3	4
91	5	3	4	1	2
91	6	1	2	3	4
91	7	3	4	1	2
91	8	2	1	3	4
91	9	3	4	1	2
92	0	3	4	1	2
92	1	2	3	1	4
92	2	1	2	3	4
92	3	1	2	3	4
92	4	2	1	3	4
92	5	3	4	1	2
92	6	1	2	3	4
92	7	1	2	3	4
92	8	3	4	1	2
92	9	3	4	1	2
93	0	3	4	1	2
93	1	2	3	1	4
93	2	1	2	3	4
93	3	1	2	3	4
93	4	2	3	1	4
93	5	1	2	3	4
93	6	1	2	3	4
93	7	3	4	1	2
93	8	3	4	1	2
93	9	3	4	1	2
94	0	3	4	1	2
94	1	2	3	1	4
94	2	1	2	3	4
94	3	1	2	3	4
94	4	2	4	1	3
94	5	3	4	1	2
94	6	3	4	1	2
94	7	3	4	1	2
94	8	3	4	1	2
94	9	3	4	1	2
95	0	3	4	1	2
